                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4325,                 4.6225,                 2.2195,                0.77083,                0.16667,                0.08754,                0.01857,                  2.958,                 3.6848,                  3.167,             0.00022864,             0.00022864,             0.00022864
                      2,                 2.2718,                 2.8845,                 1.9336,                0.79658,                0.13636,                0.07736,                0.01273,                 3.1437,                 3.7484,                 3.6507,             0.00044823,             0.00044823,             0.00044823
                      3,                 2.2098,                 2.6234,                 1.8643,                0.44795,                0.15368,                0.18501,                 0.0426,                 2.7437,                 3.2508,                 3.0135,             0.00064376,             0.00064376,             0.00064376
                      4,                 2.1995,                 2.3289,                 1.8503,                0.07609,                0.29004,                0.05525,                0.01132,                  2.879,                 4.1206,                 2.8137,             0.00081525,             0.00081525,             0.00081525
                      5,                 2.0906,                 2.2403,                 1.8909,                0.70577,                0.09524,                0.06551,                0.01855,                 2.6969,                 5.2771,                 2.7797,             0.00096269,             0.00096269,             0.00096269
                      6,                 2.1855,                  2.271,                 1.9201,                0.12768,                0.31169,                0.12263,                  0.029,                 2.7637,                 4.2056,                 3.1225,              0.0010753,              0.0010753,              0.0010753
                      7,                 2.1573,                 2.3422,                 2.0317,                0.16043,                0.34226,                 0.1021,                0.02304,                 2.5773,                 3.4517,                  2.925,              0.0010753,              0.0010753,              0.0010753
                      8,                 2.1024,                 2.0295,                 2.0676,                0.43094,                0.16667,                0.15302,                0.04316,                 2.6907,                 6.4244,                 3.4299,              0.0010046,              0.0010046,              0.0010046
                      9,                 2.0946,                 1.8973,                 1.9327,                0.08591,                0.45982,                0.09028,                0.02166,                 2.8466,                  3.451,                 3.5433,             0.00093385,             0.00093385,             0.00093385
                     10,                 2.0353,                  1.818,                 1.8814,                0.15269,                0.29582,                0.11491,                 0.0422,                  3.216,                 3.1633,                 4.7218,             0.00086312,             0.00086312,             0.00086312
                     11,                 2.2033,                 1.8573,                 2.0627,                 0.6494,                0.14141,                0.14651,                0.04974,                 2.6395,                 4.0374,                  2.779,             0.00079238,             0.00079238,             0.00079238
                     12,                 2.2037,                 1.8289,                 2.1212,                 0.1296,                0.32612,                0.12972,                0.04375,                 2.4828,                 3.0879,                 2.4171,             0.00072164,             0.00072164,             0.00072164
                     13,                 2.1143,                  1.714,                 2.0669,                0.87366,                0.19048,                0.18005,                0.05984,                 2.4213,                 3.4986,                  2.308,             0.00065091,             0.00065091,             0.00065091
                     14,                 2.0824,                 1.6093,                 1.9288,                0.94023,                0.19048,                0.23882,                0.08971,                 2.4222,                 4.0332,                 2.2252,             0.00058017,             0.00058017,             0.00058017
                     15,                 2.0636,                 1.5287,                  1.927,                0.93223,                0.19048,                0.26551,                0.08418,                 2.2787,                 4.4015,                 2.1745,             0.00050944,             0.00050944,             0.00050944
                     16,                 2.1608,                 1.7031,                 1.9913,                0.94762,                0.19048,                0.29806,                0.10126,                 2.2249,                 4.0912,                 2.1844,              0.0004387,              0.0004387,              0.0004387
                     17,                 1.9344,                 1.5765,                  1.893,                0.89924,                 0.1746,                0.20996,                0.08243,                 2.2856,                 4.2573,                 2.1969,             0.00036797,             0.00036797,             0.00036797
                     18,                 2.0193,                 1.5469,                 1.8284,                0.92978,                 0.1746,                0.21154,                0.08024,                 2.3767,                 4.4029,                 2.2295,             0.00029723,             0.00029723,             0.00029723
                     19,                  1.918,                 1.4528,                 1.9479,                0.57661,                0.20491,                0.20757,                0.08386,                 2.3935,                 4.1982,                 2.3931,              0.0002265,              0.0002265,              0.0002265
                     20,                 1.8368,                 1.2918,                 1.8331,                0.26258,                0.25036,                0.21641,                0.08651,                 2.7291,                 3.5235,                 2.6311,             0.00015576,             0.00015576,             0.00015576
